zipcode,city,state,ST,county
2298,Boston,Massachusetts,MA,Suffolk County
2301,Brockton,Massachusetts,MA,Plymouth County
2302,Brockton,Massachusetts,MA,Plymouth County
2303,Brockton,Massachusetts,MA,Plymouth County
2304,Brockton,Massachusetts,MA,Plymouth County
2305,Brockton,Massachusetts,MA,Plymouth County
2322,Avon,Massachusetts,MA,Norfolk County
2324,Bridgewater,Massachusetts,MA,Plymouth County
2325,Bridgewater,Massachusetts,MA,Plymouth County
2327,Bryantville,Massachusetts,MA,Plymouth County
2330,Carver,Massachusetts,MA,Plymouth County
2331,Duxbury,Massachusetts,MA,Plymouth County
2332,Duxbury,Massachusetts,MA,Plymouth County
2333,East Bridgewater,Massachusetts,MA,Plymouth County
2334,Easton,Massachusetts,MA,Bristol County
2337,Elmwood,Massachusetts,MA,Plymouth County
2338,Halifax,Massachusetts,MA,Plymouth County
2339,Hanover,Massachusetts,MA,Plymouth County
2340,Hanover,Massachusetts,MA,Plymouth County
2341,Hanson,Massachusetts,MA,Plymouth County
2343,Holbrook,Massachusetts,MA,Norfolk County
2344,Middleboro,Massachusetts,MA,Plymouth County
2345,Manomet,Massachusetts,MA,Plymouth County
2346,Middleboro,Massachusetts,MA,Plymouth County
2347,Lakeville,Massachusetts,MA,Plymouth County
2348,Lakeville,Massachusetts,MA,Plymouth County
2349,Middleboro,Massachusetts,MA,Plymouth County
2350,Monponsett,Massachusetts,MA,Plymouth County
2351,Abington,Massachusetts,MA,Plymouth County
2355,North Carver,Massachusetts,MA,Plymouth County
2356,North Easton,Massachusetts,MA,Bristol County
2357,North Easton,Massachusetts,MA,Bristol County
2358,North Pembroke,Massachusetts,MA,Plymouth County
2359,Pembroke,Massachusetts,MA,Plymouth County
2360,Plymouth,Massachusetts,MA,Plymouth County
2361,Plymouth,Massachusetts,MA,Plymouth County
2362,Plymouth,Massachusetts,MA,Plymouth County
2364,Kingston,Massachusetts,MA,Plymouth County
2366,South Carver,Massachusetts,MA,Plymouth County
2367,Plympton,Massachusetts,MA,Plymouth County
2368,Randolph,Massachusetts,MA,Norfolk County
2370,Rockland,Massachusetts,MA,Plymouth County
2375,South Easton,Massachusetts,MA,Bristol County
2379,West Bridgewater,Massachusetts,MA,Plymouth County
2381,White Horse Beach,Massachusetts,MA,Plymouth County
2382,Whitman,Massachusetts,MA,Plymouth County
2420,Lexington,Massachusetts,MA,Middlesex County
2421,Lexington,Massachusetts,MA,Middlesex County
2445,Brookline,Massachusetts,MA,Norfolk County
2446,Brookline,Massachusetts,MA,Norfolk County
2447,Brookline Village,Massachusetts,MA,Norfolk County
2451,Waltham,Massachusetts,MA,Middlesex County
2452,Waltham,Massachusetts,MA,Middlesex County
2453,Waltham,Massachusetts,MA,Middlesex County
